id,pokedex_number,name,legendary_id,type1_id,type2_id,ability1_id,ability2_id,hidden_ability,health,attack,defense,special_attack,special_defense,speed,region_id,catch_rate,growth_type_id,male_percent,game_id,egg_group1_id,egg_group2_id
70,48,venonat,1,6,5,27,28,36,60,55,50,40,0,45,1,190,2,50,1,5,52
71,49,venomoth,1,6,5,35,28,66,70,65,60,90,0,90,1,75,2,50,1,5,52
72,50,diglett,1,13,52,67,68,69,10,55,25,45,0,95,1,255,2,50,1,4,52
73,51,dugtrio,1,13,52,67,68,69,35,100,50,50,70,120,1,50,2,50,1,4,52
74,50,diglett,1,13,7,67,70,69,10,55,30,35,45,90,6,255,2,50,7,4,52
75,51,dugtrio,1,13,7,67,70,69,35,100,60,50,70,110,6,50,2,50,7,4,52
76,16,pidgey,1,8,18,71,72,73,40,45,40,35,0,56,1,255,1,50,1,10,52
77,17,pidgeotto,1,8,18,71,72,73,63,60,55,50,0,71,1,120,1,50,1,10,52
78,18,pidgeot,1,8,18,71,72,73,83,80,75,70,70,101,1,45,1,50,1,10,52
79,18,pidgeot,1,8,18,29,2,2,83,80,80,135,80,121,2,45,1,50,5,10,52
80,19,rattata,1,8,52,36,25,21,30,56,35,25,0,72,1,255,2,50,1,4,52
81,19,rattata,1,14,8,74,21,4,30,56,35,25,35,72,6,255,2,50,7,4,52
82,20,raticate,1,8,52,36,25,21,55,81,60,50,0,97,1,127,2,50,1,4,52
83,20,raticate,1,14,8,74,21,4,75,71,70,40,80,77,6,127,2,50,7,4,52
84,21,spearow,1,8,18,71,2,31,40,60,30,31,0,70,1,255,2,50,1,10,52
85,22,fearow,1,8,18,71,2,31,65,90,65,61,0,100,1,90,2,50,1,10,52
86,23,ekans,1,5,52,24,26,40,35,60,44,40,0,55,1,255,2,50,1,4,15
87,24,arbok,1,5,52,24,26,40,60,95,69,65,79,80,1,90,2,50,1,4,15
88,172,pichu,1,4,52,13,2,75,20,40,15,35,35,60,5,190,2,50,6,2,52
89,25,pikachu,1,4,52,13,2,75,35,55,40,50,0,90,1,190,2,50,1,4,9
90,26,raichu,1,4,52,13,2,75,60,90,55,90,80,110,1,75,2,50,1,4,9
91,26,raichu,1,4,10,76,2,2,60,85,50,95,85,110,6,75,2,50,7,4,9
92,27,sandshrew,1,13,52,67,2,77,50,75,85,30,0,40,1,255,2,50,1,4,52
93,27,sandshrew,1,12,7,56,2,78,50,75,90,10,35,40,6,255,2,50,7,4,52
94,28,sandslash,1,13,52,67,2,77,75,100,110,55,0,65,1,90,2,50,1,4,52
95,28,sandslash,1,12,7,56,2,78,75,100,120,25,65,65,6,90,2,50,7,4,52
96,52,meowth,1,8,52,79,17,40,40,45,35,40,0,90,1,255,2,50,1,4,52
97,52,meowth,1,14,52,79,17,12,40,35,35,50,40,90,6,255,2,50,7,4,52
98,52,meowth,1,7,52,79,7,40,50,65,55,40,40,40,3,255,2,50,3,4,52
99,863,perrserker,1,7,52,80,7,81,70,110,100,50,60,50,3,90,2,50,3,4,52
100,53,persian,1,8,52,33,17,40,65,70,60,65,0,115,1,90,2,50,1,4,52
101,53,persian,1,14,52,82,17,12,65,60,60,75,65,115,6,90,2,50,7,4,52
102,54,psyduck,1,3,52,65,83,84,50,52,48,50,0,55,1,190,2,50,1,8,4
105,101,electrode,1,4,52,48,13,49,60,50,70,80,80,150,1,60,2,0,1,6,52
136,102,exeggcute,1,1,10,3,2,85,60,40,80,60,0,40,1,90,3,50,1,11,52
137,103,exeggutor,1,1,10,3,2,85,95,95,85,125,75,55,1,45,3,50,1,11,52
138,104,cubone,1,13,52,86,75,80,50,50,95,40,0,35,1,190,2,50,1,1,52
139,105,marowak,1,13,52,86,75,80,60,80,110,50,0,45,1,75,2,50,1,1,52
140,106,hitmonlee,1,9,52,33,87,88,50,120,53,35,0,87,1,45,2,100,1,3,52
141,107,hitmonchan,1,9,52,71,23,38,50,105,79,35,0,76,1,45,2,100,1,3,52
142,108,lickitung,1,8,52,89,90,83,90,55,75,60,0,30,1,45,2,50,1,1,52
143,109,koffing,1,5,52,91,2,2,40,65,95,60,0,35,1,190,2,50,1,12,52
144,110,weezing,1,5,52,91,2,2,65,90,120,85,0,60,1,60,2,50,1,12,52
145,111,rhyhorn,1,13,15,75,86,87,80,85,95,30,0,25,1,120,3,50,1,1,4
146,112,rhydon,1,13,15,75,86,87,105,130,120,45,0,40,1,60,3,50,1,1,4
147,113,chansey,1,8,52,92,93,63,250,5,5,105,0,50,1,30,4,0,1,9,52
148,114,tangela,1,1,52,3,94,95,65,55,115,100,0,60,1,45,2,50,1,11,52
211,115,kangaskhan,1,8,52,96,97,38,105,95,80,40,0,90,1,45,2,0,1,1,52
212,116,horsea,1,3,52,84,31,65,30,40,70,70,0,60,1,225,2,50,1,8,15
213,117,seadra,1,3,52,19,31,65,55,65,95,95,0,85,1,75,2,50,1,8,15
214,118,goldeen,1,3,52,84,98,75,45,67,60,50,0,63,1,225,2,50,1,13,52
215,119,seaking,1,3,52,84,98,75,80,92,65,80,0,68,1,60,2,50,1,13,52
216,120,staryu,1,3,52,99,92,47,30,45,55,70,0,85,1,225,3,0,1,14,52
217,121,starmie,1,3,10,99,92,47,60,75,85,100,0,115,1,60,3,0,1,14,52
218,122,mr. mime,1,10,11,48,100,17,40,45,65,100,0,90,1,45,2,50,1,3,52
219,123,scyther,1,6,18,30,17,43,70,110,80,55,0,105,1,45,2,50,1,5,52
220,124,jynx,1,12,10,90,101,64,65,50,35,95,0,95,1,45,2,0,1,3,52
221,125,electabuzz,1,4,52,13,2,102,65,83,57,85,0,105,1,45,2,75,1,3,52
222,126,magmar,1,2,52,103,2,102,65,95,57,85,0,93,1,45,2,75,1,3,52
223,127,pinsir,1,6,52,104,105,106,65,125,100,55,0,85,1,45,3,50,1,5,52
224,128,tauros,1,8,52,24,107,22,75,100,95,70,0,110,1,45,3,100,1,4,52
225,129,magikarp,1,3,52,84,2,12,20,10,55,20,0,80,1,255,3,50,1,13,15
226,130,gyarados,1,3,18,24,2,106,95,125,79,100,0,81,1,45,3,50,1,13,15
227,131,lapras,1,3,12,108,109,37,130,85,80,95,0,60,1,45,3,50,1,1,8
228,133,eevee,1,8,52,36,32,110,55,55,50,65,0,55,1,45,2,87.5,1,4,52
229,134,vaporeon,1,3,52,108,2,37,130,65,60,110,0,65,1,45,2,87.5,1,4,52
230,135,jolteon,1,4,52,111,2,112,65,65,60,110,0,130,1,45,2,87.5,1,4,52
231,136,flareon,1,2,52,55,2,25,65,130,60,110,0,65,1,45,2,87.5,1,4,52
232,137,porygon,1,8,52,113,114,47,65,60,70,75,0,40,1,45,2,0,1,6,52
233,138,omanyte,1,15,3,84,109,115,35,40,100,90,0,35,1,45,2,87.5,1,8,14
234,139,omastar,1,15,3,84,109,115,70,60,125,115,0,55,1,45,2,87.5,1,8,14
235,140,kabuto,1,15,3,84,80,115,30,80,90,45,0,55,1,45,2,87.5,1,8,14
236,141,kabutops,1,15,3,84,80,115,60,115,105,70,0,80,1,45,2,87.5,1,8,14
237,142,aerodactyl,1,15,18,86,42,40,80,105,65,60,0,130,1,45,3,87.5,1,10,52
238,143,snorlax,1,8,52,116,4,74,160,110,65,65,0,30,1,25,3,87.5,1,1,52
239,144,articuno,3,12,18,42,2,56,90,85,100,125,0,85,1,3,3,0,1,2,52
240,145,zapdos,3,4,18,42,2,13,90,90,85,125,0,100,1,3,3,0,1,2,52
241,146,moltres,3,2,18,42,2,103,90,100,90,125,0,90,1,3,3,0,1,2,52
242,147,dratini,1,16,52,26,2,117,41,64,45,50,0,50,1,45,3,50,1,8,15
243,148,dragonair,1,16,52,26,2,117,61,84,65,70,0,70,1,45,3,50,1,8,15
244,149,dragonite,1,16,18,38,2,118,91,134,95,100,0,80,1,45,3,50,1,8,15
245,152,chikorita,1,1,52,1,2,94,45,49,65,49,65,45,5,45,1,87.5,6,1,11
246,153,bayleef,1,1,52,1,2,94,60,62,80,63,80,60,5,45,1,87.5,6,1,11
247,154,meganium,1,1,52,1,2,94,80,82,100,83,100,80,5,45,1,87.5,6,1,11
248,155,cyndaquil,1,2,52,5,2,55,39,52,43,60,50,65,5,45,1,87.5,6,4,52
249,156,quilava,1,2,52,5,2,55,58,64,58,80,65,80,5,45,1,87.5,6,4,52
250,157,typhlosion,1,2,52,5,2,55,78,84,78,109,85,100,5,45,1,87.5,6,4,52
251,158,totodile,1,3,52,9,2,22,50,65,64,44,48,43,5,45,1,87.5,6,1,8
252,159,croconaw,1,3,52,9,2,22,65,80,80,59,63,58,5,45,1,87.5,6,1,8
253,160,feraligatr,1,3,52,9,2,22,85,105,100,79,83,78,5,45,1,87.5,6,1,8
254,161,sentret,1,8,52,36,71,59,35,46,34,35,45,20,5,255,2,50,6,4,52
255,162,furret,1,8,52,36,71,59,85,76,64,45,55,90,5,90,2,50,6,4,52
256,163,hoothoot,1,8,18,44,71,28,60,30,30,36,56,50,5,255,2,50,6,10,52
257,164,noctowl,1,8,18,44,71,28,100,50,50,86,96,70,5,90,2,50,6,10,52
258,165,ledyba,1,6,18,30,96,12,40,20,30,40,80,55,5,255,4,50,6,5,52
259,166,ledian,1,6,18,30,96,23,55,35,50,55,110,85,5,90,4,50,6,5,52
260,167,spinarak,1,6,5,30,44,31,40,60,40,40,40,30,5,255,4,50,6,5,52
261,168,ariados,1,6,5,30,44,31,70,90,70,60,70,40,5,90,4,50,6,5,52
262,170,chinchou,1,3,4,111,99,108,75,38,38,56,56,67,5,190,3,50,6,13,52
263,171,lanturn,1,3,4,111,99,108,125,58,58,76,76,67,5,75,3,50,6,13,52
264,175,togepi,1,11,52,21,93,119,35,20,65,40,65,20,5,190,4,87.5,6,2,52
265,176,togetic,1,11,18,21,93,119,55,40,85,80,105,40,5,75,4,87.5,6,10,9
266,177,natu,1,10,18,41,96,51,40,50,45,70,45,70,5,190,2,50,6,10,52
267,178,xatu,1,10,18,41,96,51,65,75,70,95,70,95,5,75,2,50,6,10,52
278,179,mareep,1,4,52,13,2,16,55,40,40,65,45,35,5,235,1,50,6,1,4
279,180,flaaffy,1,4,52,13,2,16,70,55,55,80,60,45,5,120,1,50,6,1,4
280,181,ampharos,1,4,52,13,2,16,90,75,85,115,90,55,5,45,1,50,6,1,4
283,183,marill,1,3,11,4,120,121,70,20,50,20,50,40,5,190,4,50,6,8,9
284,184,azumarill,1,3,11,4,120,121,100,50,80,60,80,50,5,75,4,50,6,8,9
285,185,sudowoodo,1,15,52,46,86,12,70,110,115,30,65,30,5,65,2,50,6,6,52
286,186,politoed,1,3,52,108,65,122,90,75,75,90,100,70,5,45,1,50,6,8,52
287,187,hoppip,1,1,18,3,94,60,35,35,40,35,55,50,5,255,1,50,6,9,11
288,188,skiploom,1,1,18,3,94,60,55,45,50,45,65,80,5,120,1,50,6,9,11
289,189,jumpluff,1,1,18,3,94,60,75,55,70,55,95,110,5,45,1,50,6,9,11
290,190,aipom,1,8,52,36,79,123,55,70,55,40,55,85,5,45,4,50,6,4,52
291,191,sunkern,1,1,52,3,6,96,30,30,30,30,30,30,5,235,1,50,6,11,52
292,192,sunflora,1,1,52,3,6,96,75,75,55,105,85,30,5,120,1,50,6,11,52
293,193,yanma,1,6,18,124,27,59,65,65,45,75,45,95,5,75,2,50,6,5,52
294,194,wooper,1,3,13,65,108,54,55,45,45,25,25,15,5,255,2,50,6,8,4
295,195,quagsire,1,3,13,65,108,54,95,85,85,65,65,35,5,90,2,50,6,8,4
296,196,espeon,1,10,52,41,2,51,65,65,60,130,95,110,5,45,2,87.5,6,4,52
297,197,umbreon,1,14,52,41,2,38,95,65,110,60,130,65,5,45,2,87.5,6,4,52
298,198,murkrow,1,14,18,44,119,125,60,85,42,85,42,91,5,30,1,50,6,10,52
299,199,slowking,1,3,10,90,89,95,95,75,80,100,110,30,5,70,2,50,6,1,8
324,200,misdreavus,1,17,52,91,2,2,60,60,60,85,85,85,5,45,4,50,6,12,52
325,201,unown,1,10,52,91,2,2,48,72,48,72,48,48,5,225,2,0,6,2,52
326,202,wobbuffet,1,10,52,126,2,127,190,33,58,33,58,33,5,45,2,50,6,12,52
327,203,girafarig,1,8,10,38,96,121,70,80,65,90,65,85,5,60,2,50,6,4,52
328,204,pineco,1,6,52,46,2,128,50,65,90,35,35,15,5,190,2,50,6,5,52
329,205,forretress,1,6,7,46,2,128,75,90,140,60,60,40,5,75,2,50,6,5,52
330,206,dunsparce,1,8,52,93,36,12,100,70,70,65,65,45,5,190,2,50,6,4,52
331,207,gligar,1,13,18,104,67,116,65,75,105,35,65,85,5,60,1,50,6,5,52
332,208,steelix,1,7,13,86,46,22,75,85,200,55,65,30,5,25,2,50,6,6,52
333,209,snubbull,1,11,52,24,36,12,60,80,50,40,40,30,5,190,4,25,6,4,9
334,210,granbull,1,11,52,24,112,12,90,120,75,60,60,45,5,75,4,25,6,4,9
335,211,qwilfish,1,3,5,19,84,24,65,95,85,55,55,85,5,45,2,50,6,13,52
336,212,scizor,1,6,7,30,17,129,70,130,100,55,80,65,5,25,2,50,6,5,52
337,213,shuckle,1,6,15,46,74,130,20,10,230,10,230,5,5,190,1,50,6,5,52
338,214,heracross,1,6,9,30,25,106,80,125,75,40,95,85,5,45,3,50,6,5,52
339,215,sneasel,1,14,12,38,71,131,55,95,55,35,75,115,5,60,1,50,6,4,52
340,216,teddiursa,1,8,52,79,112,132,60,80,50,50,50,40,5,120,2,50,6,4,52
341,217,ursaring,1,8,52,25,112,40,90,130,75,75,75,55,5,60,2,50,6,4,52
342,218,slugma,1,2,52,133,103,115,40,40,40,70,40,20,5,190,2,50,6,12,52
343,219,magcargo,1,2,15,133,103,115,60,50,120,90,80,30,5,75,2,50,6,12,52
344,220,swinub,1,12,13,90,56,4,50,50,40,30,30,50,5,225,3,50,6,4,52
345,221,piloswine,1,12,13,90,56,4,100,100,80,60,60,50,5,75,3,50,6,4,52
346,222,corsola,1,3,15,21,92,95,65,55,95,65,95,35,5,60,4,25,6,8,14
347,223,remoraid,1,3,52,21,31,134,35,65,35,65,35,65,5,190,2,50,6,8,13
348,224,octillery,1,3,52,135,31,134,75,105,75,105,75,45,5,75,2,50,6,8,13
349,225,delibird,1,12,18,102,2,44,45,55,45,65,45,75,5,45,4,50,6,8,4
350,226,mantine,1,3,18,84,108,98,85,40,70,80,140,70,5,25,3,50,6,8,52
351,227,skarmory,1,7,18,71,46,115,65,80,140,40,70,70,5,25,3,50,6,10,52
352,228,houndour,1,14,2,96,55,40,45,60,30,80,50,65,5,120,3,50,6,4,52
353,229,houndoom,1,14,2,96,55,40,75,90,50,110,80,95,5,45,3,50,6,4,52
354,230,kingdra,1,3,16,84,31,65,75,95,95,95,95,85,5,45,2,50,6,8,15
355,231,phanpy,1,13,52,79,2,67,90,60,60,40,40,40,5,120,2,50,6,4,52
356,232,donphan,1,13,52,46,2,67,90,120,120,60,60,50,5,60,2,50,6,4,52
357,233,porygon2,1,8,52,113,114,47,85,80,90,105,95,60,5,45,2,0,6,6,52
358,234,stantler,1,8,52,24,59,121,73,95,62,85,65,85,5,45,3,50,6,4,52
359,235,smeargle,1,8,52,89,17,134,55,20,35,20,45,75,5,45,4,50,6,4,52
360,236,tyrogue,1,9,52,25,43,102,35,35,35,35,35,35,5,75,2,100,6,2,52
361,237,hitmontop,1,9,52,24,17,43,50,95,95,35,110,70,5,45,2,100,6,3,52
362,238,smoochum,1,12,10,90,101,37,45,30,15,85,65,65,5,45,2,0,6,2,52
363,239,elekid,1,4,52,13,2,102,45,63,37,65,55,95,5,45,2,75,6,2,52
364,240,magby,1,2,52,103,2,102,45,75,37,70,55,83,5,45,2,75,6,2,52
365,241,miltank,1,8,52,4,97,121,95,80,105,40,70,100,5,45,3,0,6,4,52
366,242,blissey,1,8,52,92,93,63,255,10,10,75,135,55,5,30,4,0,6,9,52
367,243,raikou,3,4,52,42,2,2,90,85,75,115,100,115,5,3,3,0,6,2,52
368,244,entei,3,2,52,42,2,38,115,115,85,90,75,100,5,3,3,0,6,2,52
369,245,suicune,3,3,52,42,2,38,100,75,115,90,115,85,5,3,3,0,6,2,52
370,246,larvitar,1,15,13,25,2,67,50,64,50,45,50,41,5,45,3,50,6,1,52
371,247,pupitar,1,15,13,26,2,2,70,84,70,65,70,51,5,45,3,50,6,1,52
372,248,tyranitar,1,15,14,136,2,40,100,134,110,95,100,61,5,45,3,50,6,1,52
373,249,lugia,4,10,18,42,2,118,106,90,130,90,154,110,5,3,3,0,6,2,52
374,250,ho-oh,4,2,18,42,2,95,106,130,90,110,154,90,5,3,3,0,6,2,52
375,251,celebi,2,10,1,92,2,2,100,100,100,100,100,100,5,45,1,0,6,2,52
380,252,treecko,1,1,52,1,2,88,40,45,35,65,55,70,7,45,1,87.5,8,1,15
381,253,grovyle,1,1,52,1,2,88,50,65,45,85,65,95,7,45,1,87.5,8,1,15
382,254,sceptile,1,1,52,1,2,88,70,85,65,105,85,120,7,45,1,87.5,8,1,15
383,255,torchic,1,2,52,5,2,124,45,60,40,70,50,45,7,45,1,87.5,8,4,52
384,256,combusken,1,2,9,5,2,124,60,85,60,85,60,55,7,45,1,87.5,8,4,52
385,257,blaziken,1,2,9,5,2,124,80,120,70,110,70,80,7,45,1,87.5,8,4,52
386,258,mudkip,1,3,52,9,2,65,50,70,50,50,50,40,7,45,1,87.5,8,1,8
387,259,marshtomp,1,3,13,9,2,65,70,85,70,60,70,50,7,45,1,87.5,8,1,8
388,260,swampert,1,3,13,9,2,65,100,110,90,85,90,60,7,45,1,87.5,8,1,8
389,261,poochyena,1,14,52,36,112,12,35,55,35,30,30,35,7,255,2,50,8,4,52
390,262,mightyena,1,14,52,24,112,106,70,90,70,60,60,70,7,127,2,50,8,4,52
391,263,zigzagoon,1,8,52,79,74,112,38,30,41,30,41,60,7,255,2,50,8,4,52
392,264,linoone,1,8,52,79,74,112,78,70,61,50,61,100,7,90,2,50,8,4,52
393,265,wurmple,1,6,52,35,2,36,45,45,35,20,30,20,7,255,2,50,8,5,52
394,266,silcoon,1,6,52,26,2,2,50,35,55,25,25,15,7,120,2,50,8,5,52
395,267,beautifly,1,6,18,30,2,20,60,70,50,100,50,65,7,45,2,50,8,5,52
396,268,cascoon,1,6,52,26,2,2,50,35,55,25,25,15,7,120,2,50,8,5,52
397,269,dustox,1,6,5,35,2,27,60,50,70,50,90,65,7,45,2,50,8,5,52
398,270,lotad,1,3,1,84,10,89,40,30,30,40,50,30,7,255,1,50,8,8,11
399,271,lombre,1,3,1,84,10,89,60,50,50,60,70,50,7,120,1,50,8,8,11
400,272,ludicolo,1,3,1,84,10,89,80,70,70,90,100,70,7,45,1,50,8,8,11
401,273,seedot,1,1,52,3,96,131,40,40,50,30,30,30,7,255,1,50,8,4,11
402,274,nuzleaf,1,1,14,3,96,131,70,70,40,60,40,60,7,120,1,50,8,4,11
403,275,shiftry,1,1,14,3,96,131,90,100,60,90,60,80,7,45,1,50,8,9,11
404,276,taillow,1,8,18,25,2,97,40,55,30,30,30,85,7,200,1,50,8,10,52
405,277,swellow,1,8,18,25,2,97,60,85,60,75,50,125,7,45,1,50,8,10,52
406,278,wingull,1,3,18,71,37,10,40,30,30,55,30,85,7,190,2,50,8,8,10
407,279,pelipper,1,3,18,71,122,10,60,50,100,95,70,65,7,45,2,50,8,8,10
408,280,ralts,1,10,11,41,113,127,28,25,25,45,35,40,7,235,3,50,8,3,12
409,281,kirlia,1,10,11,41,113,127,38,35,35,65,55,50,7,120,3,50,8,3,12
410,282,gardevoir,1,10,11,41,113,127,68,65,65,125,115,80,7,45,3,50,8,3,12
411,283,surskit,1,6,3,84,2,10,40,30,32,50,52,65,7,200,2,50,8,8,5
412,284,masquerain,1,6,18,24,2,40,70,60,62,100,82,80,7,75,2,50,8,8,5
413,285,shroomish,1,1,52,62,137,112,60,40,60,40,60,35,7,255,5,50,8,9,11
414,286,breloom,1,1,9,62,137,17,60,130,80,60,60,70,7,90,5,50,8,9,11
415,287,slakoth,1,8,52,138,2,2,60,60,60,35,35,30,7,255,3,50,8,4,52
416,288,vigoroth,1,8,52,102,2,2,80,80,80,55,55,90,7,120,3,50,8,4,52
417,289,slaking,1,8,52,138,2,2,150,160,100,95,65,100,7,45,3,50,8,4,52
418,290,nincada,1,6,13,27,2,36,31,45,90,30,30,40,7,255,6,50,8,5,52
419,291,ninjask,1,6,18,124,2,60,61,90,45,50,50,160,7,120,6,50,8,5,52
420,292,shedinja,1,6,17,139,2,2,1,90,45,30,30,40,7,45,6,0,8,6,52
421,293,whismur,1,8,52,48,2,12,64,51,23,51,23,28,7,190,1,50,8,1,4
422,294,loudred,1,8,52,48,2,97,84,71,43,71,43,48,7,120,1,50,8,1,4
423,295,exploud,1,8,52,48,2,97,104,91,63,91,73,68,7,45,1,50,8,1,4
424,296,makuhita,1,9,52,4,25,22,72,60,30,20,30,25,7,180,5,75,8,3,52
425,297,hariyama,1,9,52,4,25,22,144,120,60,40,60,50,7,200,5,75,8,3,52
426,298,azurill,1,8,11,4,120,121,50,20,40,20,40,20,7,150,4,25,8,2,52
