ID,ability,ability_description
202,stamina,boosts the defense stat when hit by an attack.
203,water bubble,lowers the power of fire-type moves done to the pokémon and prevents the pokémon from getting a burn.
204,corrosion,the pokémon can poison the target even if it's a steel or poison type.
205,fluffy,halves the damage taken from moves that make direct contact but doubles that of fire-type moves.
206,queenly majesty,its majesty pressures the opposing pokémon making it unable to attack using priority moves.
207,triage,gives priority to a healing move.
208,receiver,the pokémon copies the ability of a defeated ally.
209,wimp out,the pokémon cowardly switches out when its hp becomes half or less.
210,emergency exit,the pokémon sensing danger switches out when its hp becomes half or less.
211,water compaction,boosts the pokémon's defense stat sharply when hit by a water-type move.
212,innards out,damages the attacker landing the finishing hit by the amount equal to its last hp.
213,rks system,changes the pokémon's type to match the memory disc it holds.
214,shields down,when its hp becomes half or less the pokémon's shell breaks and it becomes aggressive.
215,comatose,it's always drowsing and will never wake up. it can attack without waking up.
216,disguise,once per battle the shroud that covers the pokémon can protect it from an attack.
217,dazzling,surprises the opposing pokémon making it unable to attack using priority moves.
218,berserk,boosts the pokémon's sp. atk stat when it takes a hit that causes its hp to become half or less.
219,steelworker,powers up steel-type moves.
220,electric surge,turns the ground into electric terrain when the pokémon enters a battle.
221,psychic surge,turns the ground into psychic terrain when the pokémon enters a battle.
222,grassy surge,turns the ground into grassy terrain when the pokémon enters a battle.
223,misty surge,turns the ground into misty terrain when the pokémon enters a battle.
224,full metal body,prevents other pokémon's moves or abilities from lowering the pokémon's stats.
225,shadow shield,reduces the amount of damage the pokémon takes while its hp is full.
226,beast boost,the pokémon boosts its most proficient stat each time it knocks out a pokémon.
227,prism armor,reduces the power of supereffective attacks taken.
228,soul-heart,boosts its sp. atk stat every time a pokémon faints.
229,galvanize,normal-type moves become electric-type moves. the power of those moves is boosted a little.
230,pastel veil,protects the pokémon and its ally pokémon from being poisoned.
231,quick draw,enables the pokémon to move first occasionally.
232,power of alchemy,the pokémon copies the ability of a defeated ally.
233,neutralizing gas,if the pokémon with neutralizing gas is in the battle the effects of all pokémon's abilities will be nullified or will not be triggered.
234,screen cleaner,when the pokémon enters a battle the effects of light screen reflect and aurora veil are nullified for both opposing and ally pokémon.
235,parental bond,parent and child each attacks.
236,aerilate,normal-type moves become flying-type moves. the power of those moves is boosted a little.
237,curious medicine,when the pokémon is brought into battle any stat alterations of allies are removed.
238,perish body,when hit by a move that makes direct contact the pokémon and the attacker will faint after three turns unless they switch out of battle.
239,neuroforce,powers up moves that are super effective.
240,power spot,just being next to the pokémon powers up moves.
241,stalwart,ignores the effects of opposing pokémon's abilities and moves that draw in moves.
242,hunger switch,the pokémon changes its form alternating between its full belly mode and hangry mode after the end of each turn.
243,battle bond,defeating an opposing pokémon strengthens the pokémon's bond with its trainer and it becomes ash-greninja. water shuriken gets more powerful.
244,delta stream,the pokémon changes the weather to eliminate all of the flying type's weaknesses.
245,primordial sea,the pokémon changes the weather to nullify fire-type attacks.
246,desolate land,the pokémon changes the weather to nullify water-type attacks.
247,libero,changes the pokémon's type to the type of the move it's about to use.
248,intrepid sword,boosts the pokémon's attack stat when the pokémon enters a battle.
249,dauntless shield,boosts the pokémon's defense stat when the pokémon enters a battle.
250,wandering spirit,the pokémon exchanges abilities with a pokémon that hits it with a move that makes direct contact.
251,mirror armor,bounces back only the stat-lowering effects that the pokémon receives.
252,ice face,the pokémon's ice head can take a physical attack as a substitute but the attack also changes the pokémon's appearance. the ice will be restored when it hails.
253,ice scales,the pokémon is protected by ice scales which halve the damage taken from special moves.
254,cotton down,when the pokémon is hit by an attack it scatters cotton fluff around and lowers the speed stat of all pokémon except itself.
255,ball fetch,if the pokémon is not holding an item it will fetch the poke ball from the first failed throw of the battle.
256,steam engine,boosts the pokémon's speed stat drastically if hit by a fire- or water-type move.
257,ripen,ripens berries and doubles their effect.
258,sand spit,the pokémon creates a sandstorm when it's hit by an attack.
259,gulp missile,when the pokémon uses surf or dive it will come back with prey. when it takes damage it will spit out the prey to attack.
260,propeller tail,ignores the effects of opposing pokémon's abilities and moves that draw in moves.
261,mimicry,changes the pokémon's type depending on the terrain.
262,gorilla tactics,boosts the pokémon's attack stat but only allows the use of the first selected move.
263,transistor,powers up electric-type moves.
264,dragon's maw,powers up dragon-type moves.
265,chilling neigh,when the pokémon knocks out a target it utters a chilling neigh which boosts its attack stat.
266,grim neigh,when the pokémon knocks out a target it utters a terrifying neigh which boosts its special attack stat.
267,as one,this ability combines the effects of both calyrex’s unnerve ability and glastrier’s/spectrier’s chilling neigh/grim neigh ability.
