against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,type1,type2,combined type
0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,steel,rock,steel_rock
1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,fighting,psychic,fighting_psychic
2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,water,dark,water_dark
0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,fire,ground,fire_ground
1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,ground,dragon,ground_dragon
2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,rock,psychic,rock_psychic
2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,ground,psychic,ground_psychic
2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,rock,grass,rock_grass
1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,rock,bug,rock_bug
1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,ice,,ice
1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,ice,water,ice_water
1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,steel,psychic,steel_psychic
0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1,steel,,steel
2,2,2,0.5,2,0.5,0.5,1,2,0.5,1,2,1,1,0.5,1,1,0.5,dragon,psychic,dragon_psychic
2,1,1,0,1,1,2,2,1,1,0.5,4,1,1,1,0.5,1,1,grass,ground,grass_ground
0.5,1,0.5,2,0.5,2,1,0.5,1,1,2,0.25,0.5,0,0.5,0.5,0.25,0.5,water,steel,water_steel
1,1,1,2,1,2,0.5,1,0,2,1,0.5,1,1,1,1,0.5,0.5,normal,water,normal_water
0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,rock,steel,rock_steel
0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1,ghost,flying,ghost_flying
1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,poison,dark,poison_dark
1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,ghost,dark,ghost_dark
1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,dragon,ground,dragon_ground
0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1,fighting,steel,fighting_steel
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,poison,bug,poison_bug
0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1,poison,fighting,poison_fighting
2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5,grass,ice,grass_ice
1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,psychic,fighting,psychic_fighting
0.5,2,1,1,1,0,2,1,2,1,1,0.5,0,0.5,1,2,2,1,ice,ghost,ice_ghost
0.5,2,1,0.5,1,0,1,0.5,2,1,2,1,0,0.5,1,1,0.5,1,electric,ghost,electric_ghost
0.5,1,1,0.5,1,2,1,0.5,1,0.25,2,1,0.5,0,0.5,0.5,0.5,0.5,steel,dragon,steel_dragon
0.25,1,0.5,1,0.25,2,1,0.5,1,0.25,4,0.25,0.5,0,0.5,1,0.25,2,fire,steel,fire_steel
0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5,ghost,dragon,ghost_dragon
2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,grass,grass,grass_grass
1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,psychic,fire,psychic_fire
0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,ground,steel,ground_steel
1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5,grass,fairy,grass_fairy
2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2,ground,dark,ground_dark
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,fire,fire,fire_fire
1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1,dark,fighting,dark_fighting
2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5,normal,grass,normal_grass
0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0.5,water,ghost,water_ghost
1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1,bug,electric,bug_electric
1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5,grass,steel,grass_steel
0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2,ghost,fire,ghost_fire
1,1,1,0,1,1,1,0.5,1,2,2,2,1,0.5,1,0.5,0.5,2,ground,electric,ground_electric
0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2,ground,ghost,ground_ghost
1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1,dark,steel,dark_steel
2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5,dark,dragon,dark_dragon
0.5,1,1,1,0.5,0.5,1,2,1,0.25,1,0.5,1,1,1,4,0.5,2,bug,fire,bug_fire
0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1,steel,fighting,steel_fighting
0.5,0.5,1,1,2,2,0.5,1,1,2,2,1,0.5,0.5,2,0.5,2,2,rock,fighting,rock_fighting
0.5,1,1,2,1,0.5,1,1,1,0.5,0,2,1,1,1,2,1,1,flying,,flying
0.5,1,2,0.5,1,1,0.25,1,1,0.25,2,1,1,1,1,2,0.5,1,dragon,fire,dragon_fire
1,1,2,0.25,2,1,0.5,0.5,1,0.5,2,2,1,1,1,1,0.5,0.5,dragon,electric,dragon_electric
1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5,dragon,ice,dragon_ice
1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,fire,psychic,fire_psychic
1,1,1,0,1,2,1,1,0,2,1,2,1,0.5,1,0.5,1,2,normal,ground,normal_ground
0.5,1,1,1,0.5,2,0.5,1,0,0.5,2,0.5,1,1,1,2,0.5,2,fire,normal,fire_normal
1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1,fighting,dark,fighting_dark
0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,steel,ghost,steel_ghost
4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,dark,psychic,dark_psychic
0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,poison,water,poison_water
0.5,1,2,0.5,1,0.5,0.5,1,1,0.25,2,2,1,0.5,2,1,1,0.5,poison,dragon,poison_dragon
1,1,1,0.5,1,2,1,0.5,0,1,2,1,1,1,1,1,0.5,1,electric,normal,electric_normal
1,1,2,0.5,2,2,0.25,0.5,1,1,2,2,0.5,0.5,1,1,2,1,rock,dragon,rock_dragon
1,1,1,1,1,4,1,0.5,1,2,2,0.5,0.5,0.5,1,2,4,2,rock,ice,rock_ice
0.25,0.5,1,2,2,0.5,1,2,1,0.5,0,2,1,1,2,1,1,1,fighting,flying,fighting_flying
0.5,0.5,0,0.5,1,0.5,1,0.5,1,1,2,1,1,2,1,1,1,1,electric,fairy,electric_fairy
0.5,0.5,0,1,1,1,0.5,0.5,1,2,2,1,0.5,1,1,1,4,2,rock,fairy,rock_fairy
1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5,ghost,grass,ghost_grass
0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,flying,dragon,flying_dragon
1,4,1,1,1,0,1,1,4,1,1,1,0,0.5,0.5,1,1,1,psychic,ghost,psychic_ghost
0.5,1,1,2,0.5,1,0.25,1,1,1,2,0.25,1,1,1,2,0.25,1,fire,water,fire_water
1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5,grass,ghost,grass_ghost
1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,fire,dark,fire_dark
0.5,0.5,1,1,2,2,2,2,1,1,1,0.5,1,1,2,1,2,1,fighting,ice,fighting_ice
0.5,0.5,0,1,1,0.25,2,2,1,0.5,0.5,1,1,2,1,2,2,1,bug,fairy,bug_fairy
1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,water,bug,water_bug
0.25,1,1,1,0.25,0.5,0.5,1,1,0.25,4,0.5,1,0.5,2,2,0.5,2,poison,fire,poison_fire
0.5,0.5,1,1,2,2,1,2,0,1,1,1,1,1,2,0.5,1,1,normal,fighting,normal_fighting
0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2,ghost,ground,ghost_ground
0.5,1,2,0.5,1,1,0.25,1,1,0.25,2,1,1,1,1,2,0.5,1,fire,dragon,fire_dragon
0.25,1,0,1,1,0,1,1,2,1,1,1,0,1,1,1,2,1,ghost,fairy,ghost_fairy
1,1,2,0.5,2,2,0.5,1,0,0.5,1,2,1,1,1,1,1,0.5,normal,dragon,normal_dragon
0.5,0.5,2,0.5,4,1,0.5,2,1,0.5,1,2,1,1,2,0.5,1,0.5,dragon,fighting,dragon_fighting
1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,psychic,steel,psychic_steel
0.5,1,1,1,0.5,1,0.5,0.5,1,1,4,1,0.5,0.25,2,1,2,2,rock,poison,rock_poison

