ID,ability,ability_description
181,Gale Wings,Gives priority to Flying-type moves when the Pokémon's HP is full.
182,Flower Veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.
183,Grass Pelt,Boosts the Pokémon's Defense stat on Grassy Terrain.
184,Stance Change,The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King's Shield.
185,Aroma Veil,Protects itself and its allies from attacks that limit their move choices.
186,Sweet Veil,Prevents itself and ally Pokémon from falling asleep.
187,Strong Jaw,The Pokémon's strong jaw boosts the power of its biting moves.
188,Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.
189,Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.
190,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
191,Fairy Aura,Powers up each Pokémon's Fairy-type moves.
192,Dark Aura,Powers up each Pokémon's Dark-type moves.
193,Aura Break,The effects of Aura Abilities are reversed to lower the power of affected moves.
194,Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.
195,Long Reach,The Pokémon uses its moves without making contact with the target.
196,Liquid Voice,All sound-based moves become Water-type moves.
197,Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.
198,Battery,Powers up ally Pokémon's special moves.
199,Dancer,When another Pokémon uses a dance move it can use a dance move following it regardless of its Speed.
200,Schooling,When it has a lot of HP the Pokémon forms a powerful school. It stops schooling when its HP is low.  Doesn't work until Level 20.
201,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.
202,Stamina,Boosts the Defense stat when hit by an attack.
203,Water Bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.
204,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.
205,Fluffy,Halves the damage taken from moves that make direct contact but doubles that of Fire-type moves.
206,Queenly Majesty,Its majesty pressures the opposing Pokémon making it unable to attack using priority moves.
207,Triage,Gives priority to a healing move.
208,Receiver,The Pokémon copies the Ability of a defeated ally.
209,Wimp Out,The Pokémon cowardly switches out when its HP becomes half or less.
210,Emergency Exit,The Pokémon sensing danger switches out when its HP becomes half or less.
211,Water Compaction,Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.
212,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
213,RKS System,Changes the Pokémon's type to match the memory disc it holds.
214,Shields Down,When its HP becomes half or less the Pokémon's shell breaks and it becomes aggressive.
215,Comatose,It's always drowsing and will never wake up. It can attack without waking up.
216,Disguise,Once per battle the shroud that covers the Pokémon can protect it from an attack.
217,Dazzling,Surprises the opposing Pokémon making it unable to attack using priority moves.
218,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.
219,Steelworker,Powers up Steel-type moves.
220,Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
221,Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
222,Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
223,Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
224,Full Metal Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
225,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.
226,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
227,Prism Armor,Reduces the power of supereffective attacks taken.
228,Soul-Heart,Boosts its Sp. Atk stat every time a Pokémon faints.
229,Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
230,Pastel Veil,Protects the Pokémon and its ally Pokémon from being poisoned.
231,Quick Draw,Enables the Pokémon to move first occasionally.
232,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
233,Neutralizing Gas,If the Pokémon with Neutralizing Gas is in the battle the effects of all Pokémon's Abilities will be nullified or will not be triggered.
234,Screen Cleaner,When the Pokémon enters a battle the effects of Light Screen Reflect and Aurora Veil are nullified for both opposing and ally Pokémon.
235,Parental Bond,Parent and child each attacks.
236,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.
237,Curious Medicine,When the Pokémon is brought into battle any stat alterations of allies are removed.
238,Perish Body,When hit by a move that makes direct contact the Pokémon and the attacker will faint after three turns unless they switch out of battle.
239,Neuroforce,Powers up moves that are super effective.
240,Power Spot,Just being next to the Pokémon powers up moves.
241,Stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
242,Hunger Switch,The Pokémon changes its form alternating between its Full Belly Mode and Hangry Mode after the end of each turn.
243,Battle Bond,Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer and it becomes Ash-Greninja. Water Shuriken gets more powerful.
244,Delta Stream,The Pokémon changes the weather to eliminate all of the Flying type's weaknesses.
245,Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.
246,Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.
247,Libero,Changes the Pokémon's type to the type of the move it's about to use.
248,Intrepid Sword,Boosts the Pokémon's Attack stat when the Pokémon enters a battle.
249,Dauntless Shield,Boosts the Pokémon's Defense stat when the Pokémon enters a battle.
250,Wandering Spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.
251,Mirror Armor,Bounces back only the stat-lowering effects that the Pokémon receives.
252,Ice Face,The Pokémon's ice head can take a physical attack as a substitute but the attack also changes the Pokémon's appearance. The ice will be restored when it hails.
253,Ice Scales,The Pokémon is protected by ice scales which halve the damage taken from special moves.
254,Cotton Down,When the Pokémon is hit by an attack it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.
255,Ball Fetch,If the Pokémon is not holding an item it will fetch the Poke Ball from the first failed throw of the battle.
256,Steam Engine,Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.
257,Ripen,Ripens Berries and doubles their effect.
258,Sand Spit,The Pokémon creates a sandstorm when it's hit by an attack.
259,Gulp Missile,When the Pokémon uses Surf or Dive it will come back with prey. When it takes damage it will spit out the prey to attack.
260,Propeller Tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
261,Mimicry,Changes the Pokémon's type depending on the terrain.
262,Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
263,Transistor,Powers up Electric-type moves.
264,Dragon's Maw,Powers up Dragon-type moves.
265,Chilling Neigh,When the Pokémon knocks out a target it utters a chilling neigh which boosts its Attack stat.
266,Grim Neigh,When the Pokémon knocks out a target it utters a terrifying neigh which boosts its Special Attack stat.
267,As One,This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s/Spectrier’s Chilling Neigh/Grim Neigh Ability.
