https://www.kaggle.com/mrdew25/pokemon-database,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokemon Id,Pokedex Number,Pokemon Name,Legendary Type,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Catch Rate,Experience Growth,Primary Egg Group,Secondary Egg Group
11,8,"""Wartortle""",NULL,"""Water""",NULL,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",59,63,80,65,0,58,325,45,"""Medium Slow""","""Monster""","""Water 1"""
12,9,"""Blastoise""",NULL,"""Water""",NULL,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",79,83,100,85,0,78,425,45,"""Medium Slow""","""Monster""","""Water 1"""
13,9,"""Blastoise""",NULL,"""Water""",NULL,"""Mega Launcher""","""Powers up aura and pulse moves. """,NULL,NULL,NULL,NULL,87.5,12.5,"""X / Y""","""Kalos""",79,103,120,135,115,78,630,45,"""Medium Slow""","""Monster""","""Water 1"""
14,848,"""Toxel""",NULL,"""Electric""","""Poison""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""","""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""","""Klutz""","""The Pokémon can't use any held items.""",50,50,"""Sword / Shield""","""Galar""",40,38,35,54,35,40,242,75,"""Medium Slow""","""Undiscovered""",NULL
15,849,"""Toxtricity""",NULL,"""Electric""","""Poison""","""Punk Rock""","""Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.""","""Plus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""","""Technician""","""Powers up the Pokémon's weaker moves.""",50,50,"""Sword / Shield""","""Galar""",75,98,70,114,70,75,502,45,"""Medium Slow""","""Human-Like""",NULL
16,849,"""Toxtricity""",NULL,"""Electric""","""Poison""","""Punk Rock""","""Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.""","""Minus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""","""Technician""","""Powers up the Pokémon's weaker moves.""",50,50,"""Sword / Shield""","""Galar""",75,98,70,114,70,75,502,45,"""Medium Slow""","""Human-Like""",NULL
17,30,"""Nidorina""",NULL,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",0,100,"""Red / Blue / Yellow""","""Kanto""",70,62,67,55,0,56,310,120,"""Medium Slow""","""Undiscovered""",NULL
18,31,"""Nidoqueen""",NULL,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",0,100,"""Red / Blue / Yellow""","""Kanto""",90,92,87,75,85,76,505,45,"""Medium Slow""","""Undiscovered""",NULL
19,392,"""Infernape""",NULL,"""Fire""","""Fighting""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Iron Fist""","""Powers up punching moves.""",87.5,12.5,"""Diamond / Pearl""","""Sinnoh""",76,104,71,104,71,108,534,45,"""Medium Slow""","""Field""","""Human-Like"""
20,403,"""Shinx""",NULL,"""Electric""",NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",50,50,"""Diamond / Pearl""","""Sinnoh""",45,65,34,40,34,45,263,235,"""Medium Slow""","""Field""",NULL
21,404,"""Luxio""",NULL,"""Electric""",NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",50,50,"""Diamond / Pearl""","""Sinnoh""",60,85,49,60,49,60,363,120,"""Medium Slow""","""Field""",NULL
22,405,"""Luxray""",NULL,"""Electric""",NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",50,50,"""Diamond / Pearl""","""Sinnoh""",80,120,79,95,79,70,523,45,"""Medium Slow""","""Field""",NULL
23,11,"""Metapod""",NULL,"""Bug""",NULL,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,50,50,"""Red / Blue / Yellow""","""Kanto""",50,20,55,25,0,30,180,120,"""Medium Fast""","""Bug""",NULL
24,12,"""Butterfree""",NULL,"""Bug""","""Flying""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",NULL,NULL,"""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""",50,50,"""Red / Blue / Yellow""","""Kanto""",60,45,50,90,80,70,395,45,"""Medium Fast""","""Bug""",NULL
25,679,"""Honedge""",NULL,"""Steel""","""Ghost""","""No Guard""","""The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.""",NULL,NULL,NULL,NULL,50,50,"""X / Y""","""Kalos""",45,80,100,35,37,28,325,180,"""Medium Fast""","""Mineral""",NULL
26,680,"""Doublade""",NULL,"""Steel""","""Ghost""","""No Guard""","""The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.""",NULL,NULL,NULL,NULL,50,50,"""X / Y""","""Kalos""",59,110,150,45,49,35,448,90,"""Medium Fast""","""Mineral""",NULL
27,15,"""Beedrill""",NULL,"""Bug""","""Poison""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",50,50,"""Red / Blue / Yellow""","""Kanto""",65,90,40,45,80,75,395,45,"""Medium Fast""","""Bug""",NULL
28,15,"""Beedrill""",NULL,"""Bug""","""Poison""","""Adaptability""","""Powers up moves of the same type as the Pokémon.""",NULL,NULL,NULL,NULL,50,50,"""Omega Ruby / Alpha Sapphire""","""Kalos""",65,150,40,15,80,145,495,45,"""Medium Fast""","""Bug""",NULL
29,132,"""Ditto""",NULL,"""Normal""",NULL,"""Limber""","""Its limber body protects the Pokémon from paralysis.""",NULL,NULL,"""Imposter""","""The Pokémon transforms itself into the Pokémon it's facing.""",0,0,"""Red / Blue / Yellow""","""Kanto""",48,48,48,48,0,48,240,35,"""Medium Fast""","""Ditto""",NULL
30,14,"""Kakuna""",NULL,"""Bug""","""Poison""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,50,50,"""Red / Blue / Yellow""","""Kanto""",45,25,50,25,0,35,180,120,"""Medium Fast""","""Bug""",NULL
31,13,"""Weedle""",NULL,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50,50,"""Red / Blue / Yellow""","""Kanto""",40,35,30,20,0,50,175,255,"""Medium Fast""","""Bug""",NULL
32,10,"""Caterpie""",NULL,"""Bug""",NULL,"""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50,50,"""Red / Blue / Yellow""","""Kanto""",45,30,35,20,0,45,175,255,"""Medium Fast""","""Bug""",NULL
33,29,"""Nidoran (Female)""",NULL,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",0,100,"""Red / Blue / Yellow""","""Kanto""",55,47,52,40,0,41,235,235,"""Medium Slow""","""Monster""","""Field"""
34,390,"""Chimchar""",NULL,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Iron Fist""","""Powers up punching moves.""",87.5,12.5,"""Diamond / Pearl""","""Sinnoh""",44,58,44,58,44,61,309,45,"""Medium Slow""","""Field""","""Human-Like"""
35,391,"""Monferno""",NULL,"""Fire""","""Fighting""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Iron Fist""","""Powers up punching moves.""",87.5,12.5,"""Diamond / Pearl""","""Sinnoh""",64,78,52,78,52,81,405,45,"""Medium Slow""","""Field""","""Human-Like"""
36,489,"""Phione""","""Mythical""","""Water""",NULL,"""Hydration""","""Heals status conditions if it's raining.""",NULL,NULL,NULL,NULL,0,0,"""Diamond / Pearl""","""Sinnoh""",80,80,80,80,80,80,480,30,"""Slow""","""Water 1""","""Fairy"""
37,490,"""Manaphy""","""Mythical""","""Water""",NULL,"""Hydration""","""Heals status conditions if it's raining.""",NULL,NULL,NULL,NULL,0,0,"""Diamond / Pearl""","""Sinnoh""",100,100,100,100,100,100,600,3,"""Slow""","""Water 1""","""Fairy"""
38,891,"""Kubfu""","""Sub-Legendary""","""Fighting""",NULL,"""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",NULL,NULL,NULL,NULL,87.5,12.5,"""Sword / Shield""","""Galar""",60,90,60,53,50,72,385,3,"""Slow""","""Undiscovered""",NULL
39,892,"""Urshifu""","""Sub-Legendary""","""Fighting""","""Dark""","""Unseen Fist""","""The Pokémon can deal damage with moves that make physical contact, even if the target is protected.""",NULL,NULL,NULL,NULL,87.5,12.5,"""Sword / Shield""","""Galar""",100,130,100,63,60,97,550,3,"""Slow""","""Undiscovered""",NULL
40,892,"""Urshifu""","""Sub-Legendary""","""Fighting""","""Water""","""Unseen Fist""","""The Pokémon can deal damage with moves that make physical contact, even if the target is protected.""",NULL,NULL,NULL,NULL,87.5,12.5,"""Sword / Shield""","""Galar""",100,130,100,63,60,97,550,3,"""Slow""","""Undiscovered""",NULL
41,898,"""Calyrex""","""Legendary""","""Psychic""","""Grass""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",NULL,NULL,NULL,NULL,0,0,"""Sword / Shield""","""Galar""",100,80,80,80,80,80,500,3,"""Slow""","""Undiscovered""",NULL
42,151,"""Mew""","""Mythical""","""Psychic""",NULL,"""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""",NULL,NULL,NULL,NULL,0,0,"""Red / Blue / Yellow""","""Kanto""",100,100,100,100,0,100,500,45,"""Medium Slow""","""Undiscovered""",NULL
43,150,"""Mewtwo""","""Legendary""","""Psychic""",NULL,"""Pressure""","""By putting pressure on the opposing Pokémon, it raises their PP usage.""",NULL,NULL,"""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",0,0,"""Red / Blue / Yellow""","""Kanto""",106,110,90,154,0,130,590,3,"""Slow""","""Undiscovered""",NULL
44,150,"""Mewtwo""","""Legendary""","""Psychic""",NULL,"""Steadfast""","""The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.""",NULL,NULL,NULL,NULL,0,0,"""X / Y""","""Kalos""",106,190,100,154,100,130,780,3,"""Slow""","""Undiscovered""",NULL
45,150,"""Mewtwo""","""Legendary""","""Psychic""",NULL,"""Insomnia""","""The Pokémon is suffering from insomnia and cannot fall asleep.""",NULL,NULL,NULL,NULL,0,0,"""X / Y""","""Kalos""",106,150,70,194,120,140,780,3,"""Slow""","""Undiscovered""",NULL
46,81,"""Magnemite""",NULL,"""Electric""","""Steel""","""Magnet Pull""","""Prevents Steel-type Pokémon from escaping using its magnetic force.""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Analytic""","""Boosts move power when the Pokémon moves last.""",0,0,"""Red / Blue / Yellow""","""Kanto""",25,35,70,95,0,45,270,190,"""Medium Fast""","""Mineral""",NULL
47,100,"""Voltorb""",NULL,"""Electric""",NULL,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""","""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""","""Aftermath""","""Damages the attacker if it contacts the Pokémon with a finishing hit.""",0,0,"""Red / Blue / Yellow""","""Kanto""",40,30,50,55,0,100,275,190,"""Medium Fast""","""Mineral""",NULL
48,32,"""Nidoran (Male)""",NULL,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",100,0,"""Red / Blue / Yellow""","""Kanto""",46,57,40,40,0,50,233,235,"""Medium Slow""","""Monster""","""Field"""
49,33,"""Nidorino""",NULL,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",100,0,"""Red / Blue / Yellow""","""Kanto""",61,72,57,55,0,65,310,120,"""Medium Slow""","""Monster""","""Field"""
50,34,"""Nidoking""",NULL,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",100,0,"""Red / Blue / Yellow""","""Kanto""",81,102,77,85,75,85,505,45,"""Medium Slow""","""Monster""","""Field"""
51,173,"""Cleffa""",NULL,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Bounce""","""Reflects status moves instead of getting hit by them.""","""Friend Guard""","""Reduces damage done to allies.""",25,75,"""Gold / Silver / Crystal""","""Johto""",50,25,28,45,55,15,218,150,"""Fast""","""Undiscovered""",NULL
52,35,"""Clefairy""",NULL,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Friend Guard""","""Reduces damage done to allies.""",25,75,"""Red / Blue / Yellow""","""Kanto""",70,45,48,60,0,35,258,150,"""Fast""","""Fairy""",NULL
53,36,"""Clefable""",NULL,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""",25,75,"""Red / Blue / Yellow""","""Kanto""",95,70,73,95,90,60,483,25,"""Fast""","""Fairy""",NULL
54,37,"""Vulpix""",NULL,"""Fire""",NULL,"""Flash Fire""","""Powers up the Pokémon's Fire-type moves if it's hit by one.""",NULL,NULL,"""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",25,75,"""Red / Blue / Yellow""","""Kanto""",38,41,40,65,0,65,249,190,"""Medium Fast""","""Field""",NULL
55,37,"""Vulpix""",NULL,"""Ice""",NULL,"""Snow Cloak""","""Boosts evasiveness in a hailstorm.""",NULL,NULL,"""Snow Warning""","""The Pokémon summons a hailstorm when it enters a battle.""",25,75,"""Sun / Moon""","""Alola""",38,41,40,50,65,65,299,190,"""Medium Fast""","""Field""",NULL
56,38,"""Ninetales""",NULL,"""Fire""",NULL,"""Flash Fire""","""Powers up the Pokémon's Fire-type moves if it's hit by one.""",NULL,NULL,"""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",25,75,"""Red / Blue / Yellow""","""Kanto""",73,76,75,100,0,100,424,75,"""Medium Fast""","""Field""",NULL
57,38,"""Ninetales""",NULL,"""Ice""","""Fairy""","""Snow Cloak""","""Boosts evasiveness in a hailstorm.""",NULL,NULL,"""Snow Warning""","""The Pokémon summons a hailstorm when it enters a battle.""",25,75,"""Sun / Moon""","""Alola""",73,67,75,81,100,109,505,75,"""Medium Fast""","""Field""",NULL
58,174,"""Igglybuff""",NULL,"""Normal""","""Fairy""","""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Competitive""","""Boosts the Sp. Atk stat sharply when a stat is lowered.""","""Friend Guard""","""Reduces damage done to allies.""",25,75,"""Gold / Silver / Crystal""","""Johto""",90,30,15,40,20,15,210,170,"""Fast""","""Undiscovered""",NULL
59,39,"""Jigglypuff""",NULL,"""Normal""","""Fairy""","""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Competitive""","""Boosts the Sp. Atk stat sharply when a stat is lowered.""","""Friend Guard""","""Reduces damage done to allies.""",25,75,"""Red / Blue / Yellow""","""Kanto""",115,45,20,25,0,20,225,170,"""Fast""","""Fairy""",NULL
60,40,"""Wigglytuff""",NULL,"""Normal""","""Fairy""","""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Competitive""","""Boosts the Sp. Atk stat sharply when a stat is lowered.""","""Frisk""","""When it enters a battle, the Pokémon can check an opposing Pokémon's held item.""",25,75,"""Red / Blue / Yellow""","""Kanto""",140,70,45,85,50,45,435,50,"""Fast""","""Fairy""",NULL
61,41,"""Zubat""",NULL,"""Poison""","""Flying""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",NULL,NULL,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50,50,"""Red / Blue / Yellow""","""Kanto""",40,45,35,40,0,55,215,255,"""Medium Fast""","""Flying""",NULL
62,42,"""Golbat""",NULL,"""Poison""","""Flying""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",NULL,NULL,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50,50,"""Red / Blue / Yellow""","""Kanto""",75,80,70,75,0,95,395,90,"""Medium Fast""","""Flying""",NULL
63,169,"""Crobat""",NULL,"""Poison""","""Flying""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",NULL,NULL,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50,50,"""Gold / Silver / Crystal""","""Johto""",85,90,80,70,80,130,535,90,"""Medium Fast""","""Flying""",NULL
64,43,"""Oddish""",NULL,"""Grass""","""Poison""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50,50,"""Red / Blue / Yellow""","""Kanto""",45,50,55,75,0,30,255,255,"""Medium Slow""","""Grass""",NULL
65,44,"""Gloom""",NULL,"""Grass""","""Poison""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,"""Stench""","""By releasing stench when attacking, this Pokémon may cause the target to flinch.""",50,50,"""Red / Blue / Yellow""","""Kanto""",60,65,70,85,0,40,320,120,"""Medium Slow""","""Grass""",NULL
66,45,"""Vileplume""",NULL,"""Grass""","""Poison""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,"""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""",50,50,"""Red / Blue / Yellow""","""Kanto""",75,80,85,110,90,50,490,45,"""Medium Slow""","""Grass""",NULL
67,182,"""Bellossom""",NULL,"""Grass""",NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,"""Healer""","""Sometimes heals an ally's status condition.""",50,50,"""Gold / Silver / Crystal""","""Johto""",75,80,95,90,100,50,490,45,"""Medium Slow""","""Grass""",NULL
68,46,"""Paras""",NULL,"""Bug""","""Grass""","""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""","""Dry Skin""","""Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""",50,50,"""Red / Blue / Yellow""","""Kanto""",35,70,55,55,0,25,240,190,"""Medium Fast""","""Bug""","""Grass"""
69,47,"""Parasect""",NULL,"""Bug""","""Grass""","""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""","""Dry Skin""","""Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""",50,50,"""Red / Blue / Yellow""","""Kanto""",60,95,80,80,0,30,345,75,"""Medium Fast""","""Bug""","""Grass"""
70,48,"""Venonat""",NULL,"""Bug""","""Poison""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""","""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""","""Run Away""","""Enables a sure getaway from wild Pokémon.""",50,50,"""Red / Blue / Yellow""","""Kanto""",60,55,50,40,0,45,250,190,"""Medium Fast""","""Bug""",NULL
71,49,"""Venomoth""",NULL,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""","""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""","""Wonder Skin""","""Makes status moves more likely to miss.""",50,50,"""Red / Blue / Yellow""","""Kanto""",70,65,60,90,0,90,375,75,"""Medium Fast""","""Bug""",NULL
72,50,"""Diglett""",NULL,"""Ground""",NULL,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Arena Trap""","""Prevents opposing Pokémon from fleeing.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50,50,"""Red / Blue / Yellow""","""Kanto""",10,55,25,45,0,95,230,255,"""Medium Fast""","""Field""",NULL
73,51,"""Dugtrio""",NULL,"""Ground""",NULL,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Arena Trap""","""Prevents opposing Pokémon from fleeing.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50,50,"""Red / Blue / Yellow""","""Kanto""",35,100,50,50,70,120,425,50,"""Medium Fast""","""Field""",NULL
74,50,"""Diglett""",NULL,"""Ground""","""Steel""","""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Tangling Hair""","""Contact with the Pokémon lowers the attacker's Speed stat.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50,50,"""Sun / Moon""","""Alola""",10,55,30,35,45,90,265,255,"""Medium Fast""","""Field""",NULL
75,51,"""Dugtrio""",NULL,"""Ground""","""Steel""","""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Tangling Hair""","""Contact with the Pokémon lowers the attacker's Speed stat.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50,50,"""Sun / Moon""","""Alola""",35,100,60,50,70,110,425,50,"""Medium Fast""","""Field""",NULL
